n,strategy_name,order_hash,order_compact,dataset_source,ppo_version,is_ppo,candidate_source,ppo_checkpoint,ppo_seed,predicted_lex_primary_score,predicted_u2_guarded_score,final_v03_score,partial_training_caveat,teacher_metrics_extracted,teacher_validation_status,source_metric_file,u2_range,peeq_max,surface_t_proxy,mises_max,final_step_name,final_frame_time,extracted_field_names,completion_status,odb_extraction_status
12,PPOV01_N12_B01_deterministic,757671dac07a2c40,"11,1,3,9,7,5,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,2.7248898732068483e-05,0.1507376283407211,583265024.0,579939520.0,,,,,
12,PPOV01_N12_B02_surrogate_top,04c3f1a84377b4b9,"11,1,3,7,9,5,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,2.7269628844805997e-05,0.1481368690729141,583111104.0,579939520.0,,,,,
12,PPOV01_N12_B03_surrogate_top,6e4c9be2abad539c,"11,3,1,9,7,5,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.424449278099928e-05,0.1501961797475814,582941568.0,579939456.0,,,,,
12,PPOV01_N12_B04_surrogate_top,e1823c6311146374,"11,3,1,7,9,5,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.631846584539744e-05,0.148762047290802,583000576.0,579939456.0,,,,,
12,PPOV01_N12_B05_diverse_tophalf,ec1f61e368e0b0b1,"11,3,1,5,9,7,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.3783958315325435e-05,0.1501507312059402,583326784.0,579939520.0,,,,,
12,PPOV01_N12_B06_diverse_tophalf,2021a19d651a7f1f,"11,1,3,9,7,5,0,2,4,6,10,8",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.0258700462582052e-05,0.1538493782281875,583283072.0,579938560.0,,,,,
12,PPOV01_N12_B07_novelty_tophalf,8d75176c787926a3,"11,1,3,9,7,5,0,4,2,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.105954440092319e-05,0.1460365504026413,581601088.0,579939456.0,,,,,
12,PPOV01_N12_B08_stochastic_highreward,6e50be45727802e0,"11,1,3,7,5,9,0,2,4,6,8,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,2.5148123313556425e-05,0.1490274965763092,583065856.0,579939456.0,,,,,
16,PPOV01_N16_B01_deterministic,4e65ff2075680484,"11,1,3,15,13,9,7,5,0,2,4,6,8,10,12,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.2194235018323525e-05,0.1535855084657669,584222272.0,579948288.0,,,,,
16,PPOV01_N16_B02_surrogate_top,688b49e0c3b543ca,"11,1,3,15,13,9,7,5,0,2,4,6,8,10,14,12",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,2.952120985355577e-05,0.1539182811975479,584204864.0,579948480.0,,,,,
16,PPOV01_N16_B03_surrogate_top,126863e4c1372da1,"11,3,1,9,15,13,7,5,0,2,4,6,8,10,12,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.810211476069526e-05,0.1522892415523529,583755072.0,579948224.0,,,,,
16,PPOV01_N16_B04_surrogate_top,2241e69d0c7b020f,"15,11,3,1,13,9,7,5,0,2,4,6,8,10,12,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.657452063838719e-05,0.1545572429895401,582887424.0,579948224.0,,,,,
16,PPOV01_N16_B05_diverse_tophalf,f0a3e7f21b353202,"11,3,1,15,13,5,9,7,0,2,4,6,8,10,12,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.611615463545604e-05,0.1549895852804184,583533120.0,579948288.0,,,,,
16,PPOV01_N16_B06_diverse_tophalf,450d44b1ee439317,"11,3,1,15,13,9,7,5,0,2,4,6,8,12,14,10",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.7976209089029e-05,0.1540152728557586,584101568.0,579948224.0,,,,,
16,PPOV01_N16_B07_novelty_tophalf,a0c36473fb84cafc,"11,3,1,15,13,9,7,5,0,2,4,6,8,10,14,12",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,4.0435319306197925e-05,0.1535876095294952,584079808.0,579948416.0,,,,,
16,PPOV01_N16_B08_stochastic_highreward,0850e3362b7cf8ec,"11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,3.906633264705306e-05,0.1532397419214248,584203136.0,579948288.0,,,,,
24,PPOV01_N24_B01_deterministic,df821abc1c971d88,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001435850494999,0.1531748324632644,585510336.0,579944384.0,,,,,
24,PPOV01_N24_B02_surrogate_top,439833e86223ed31,"11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001335984698016,0.1572492122650146,585545088.0,579943488.0,,,,,
24,PPOV01_N24_B03_surrogate_top,6c63f73cf47f85c7,"11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001460576495446,0.1596533060073852,585735488.0,579943552.0,,,,,
24,PPOV01_N24_B04_surrogate_top,30e6b90605fe207b,"11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001760356522026,0.1579391360282898,585611968.0,579944256.0,,,,,
24,PPOV01_N24_B05_diverse_tophalf,a8f881f2ef3f71e2,"11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001951592737441,0.1526614278554916,584139200.0,579944640.0,,,,,
24,PPOV01_N24_B06_diverse_tophalf,323fc92635a0ad11,"11,1,3,15,23,19,13,21,17,9,7,5,0,6,2,4,8,10,12,16,22,20,18,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001617728407836,0.156264066696167,585511232.0,579944384.0,,,,,
24,PPOV01_N24_B07_novelty_tophalf,6e9031851c4fd19e,"11,3,1,15,23,21,19,13,7,17,9,5,0,2,6,8,4,10,16,18,22,20,14,12",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001893580988507,0.1512520015239715,584889728.0,579944320.0,,,,,
24,PPOV01_N24_B08_stochastic_highreward,f61d232781754d8e,"11,1,3,15,21,23,19,17,9,22,13,7,5,0,2,6,4,8,10,12,16,18,20,14",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0001286480594444,0.1618060618638992,585438848.0,579943552.0,,,,,
40,PPOV01_N40_B01_deterministic,5015aabd66c74efa,"11,1,3,15,21,23,37,31,29,25,39,35,27,33,17,19,13,5,0,7,9,20,24,36,32,30,38,34,22,26,28,18,6,4,8,16,14,12,10,2",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0005421275095613,0.1637966185808181,583024832.0,579926912.0,,,,,
40,PPOV01_N40_B02_surrogate_top,b3be48f2d4e40a36,"11,3,1,15,23,21,29,31,37,39,27,17,33,35,19,25,13,9,0,7,5,20,22,32,36,34,24,26,30,38,28,6,2,18,4,8,10,16,14,12",ppo_v01_batch32,v01,True,PPO_checkpoint_inference,,,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\stageI_final_ppo_evidence_freeze\frozen_tables\FROZEN_PPO_batch32_teacher_metrics.csv,0.0005475423565712,0.162598118185997,589503488.0,579926592.0,,,,,
