N,objective_view,best_strategy,best_value,candidate_family,candidate_source,source_run,teacher_validation_status,order_compact,order_hash,claim_role
N12,U2,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,uncertainty,N12_recovery_uncertainty,Run71,PASS_TEACHER_FIELDS_EXTRACTED,11-9-5-7-3-1-0-2-4-6-8-10,2bda5fb0f837e0b2,native_multi_N_claim_scope_within_N_only
N12,u2_primary,S3R74FSD_N12_B02_n12_penalty,0.8977272727272728,penalty_repair,N12_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,9-11-7-5-3-1-0-2-4-6-8-10,386d1b07eed1cd5a,native_multi_N_claim_scope_within_N_only
N12,constrained_reward,S3R74FSD_N12_B02_n12_penalty,0.859090909090909,penalty_repair,N12_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,9-11-7-5-3-1-0-2-4-6-8-10,386d1b07eed1cd5a,native_multi_N_claim_scope_within_N_only
N12,strict_penalty_guard,S3R74FSD_N12_B02_n12_penalty,0.8538961038961039,penalty_repair,N12_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,9-11-7-5-3-1-0-2-4-6-8-10,386d1b07eed1cd5a,native_multi_N_claim_scope_within_N_only
N12,penalty_repair,S3R74FSD_N12_B01_n12_penalty,0.8275974025974026,penalty_repair,N12_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,11-7-9-5-3-1-0-2-4-6-8-10,7e02169f5069d99d,native_multi_N_claim_scope_within_N_only
N12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.1403219699859619,graph_pointer_proxy,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N12,SurfaceT,N12_A09_center_edge_alternating,580752832.0,center_edge,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N12,Mises,N12_A06_edge_in_alternating,579937984.0,edge_in,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N16,U2,S3R74FSD_N16_B13_n16_run71_local,2.926077831943985e-05,recovery_anchor,N16_local_search_around_Run71_best,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-12-8-4-6-10-2-0-1-3-5-7-9-11-13-15,cb0a72a06b7d08c9,native_multi_N_claim_scope_within_N_only
N16,u2_primary,S3R74FSD_N16_B01_n16_penalty,0.9233766233766234,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,native_multi_N_claim_scope_within_N_only
