row,n,strategy_name,case_dir,scan_order_json,expected_cae,expected_inp,expected_jnl,status,errors,warnings
1,12,N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\scan_order_N12_A01_raster_left_to_right.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.jnl,OK,,
2,12,N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\scan_order_N12_A02_odd_even_interlaced.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.jnl,OK,,
3,12,N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\scan_order_N12_A03_greedy_maximin_distance.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.jnl,OK,,
4,12,N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\scan_order_N12_A04_method_c_u2_first_engineering.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.jnl,OK,,
5,12,N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\scan_order_N12_A05_center_out.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.jnl,OK,,
6,12,N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\scan_order_N12_A06_edge_in_alternating.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.jnl,OK,,
7,12,N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\scan_order_N12_A07_regular_jump_coprime.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.jnl,OK,,
8,12,N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\scan_order_N12_A08_block_interleaved_quarters.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.jnl,OK,,
9,12,N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\scan_order_N12_A09_center_edge_alternating.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.jnl,OK,,
10,12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\scan_order_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.jnl,OK,,
