question,evidence,answer,safe manuscript wording,limitation
Did PPO generate legal scan orders?,Stage D legality audit and teacher-evaluated batch32,Yes.,The trained policy generated legal scan-order permutations.,Legal does not mean physically optimal.
Were PPO orders generated by a trained policy rather than hand-designed?,candidate_source = PPO_checkpoint_inference and Stage C checkpoint,Yes.,Candidates were generated by frozen PPO checkpoint inference.,Surrogate ranking selected within the PPO pool.
Were PPO orders independently FEA teacher-validated?,Stage G 32/32 teacher metrics,Yes.,All 32 PPO candidates were independently evaluated by Abaqus teacher simulations.,Teacher validation does not imply superiority.
Did PPO beat the mature combined552 best?,Stage H new-record audit,No.,PPO produced no new combined552 records.,combined552 is a mature multi-round active-learning reference.
Did PPO show small-N top-k competitiveness?,"Stage H top-k audit: N12=5, N16=4","Yes, bounded to small N.",PPO achieved bounded N12/N16 top-k competitiveness.,Not all-N dominance.
Did PPO show N40 primary-metric competitiveness?,Stage H summary: N40 top-k=0 under primary/top-k definition,No.,N40 PPO performance was limited under primary metrics.,Only diagnostic Mises top-k hits were observed.
Did surrogate prediction alone explain physical quality?,"Surrogate-vs-teacher Spearman 0.2790, Pearson 0.2092",Only weakly.,Weak surrogate-to-teacher alignment motivated independent FEA teacher validation.,Surrogate scoring cannot replace teacher validation.
What is the meaning of PPO if it did not beat combined552 best?,Clean policy-source chain plus teacher validation and small-N top-k enrichment,PPO demonstrates that a policy-gradient agent can generate physically evaluable and partially competitive scan-order candidates without manual scan-order design.,"PPO's value is policy-generation feasibility and small-N enrichment, not final record-level dominance.",No new mature-reference records.
What claim should the manuscript make?,Stage H/I/J bounded evidence,Teacher-validated bounded policy-generation evidence.,Surrogate-trained PPO generated teacher-validated scan orders with small-N/top-k competitiveness.,Keep bounded by N and metric.
What claim should the manuscript avoid?,No new records; N40 limitation,Avoid superiority/global optimum claims.,The evidence does not support all-N superiority.,Do not claim PPO replaces active learning or teacher validation.
