n,strategy_name,order_hash,legal_order,legality,candidate_source,teacher_validated,abaqus_validated,duplicate_order_hash_within_selected,no_N32,no_cae_inp_odb_path_created,order_mutated_after_ppo_inference
12,PPOV01_N12_B01_deterministic,757671dac07a2c40,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B02_surrogate_top,04c3f1a84377b4b9,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B03_surrogate_top,6e4c9be2abad539c,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B04_surrogate_top,e1823c6311146374,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B05_diverse_tophalf,ec1f61e368e0b0b1,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B06_diverse_tophalf,2021a19d651a7f1f,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B07_novelty_tophalf,8d75176c787926a3,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
12,PPOV01_N12_B08_stochastic_highreward,6e50be45727802e0,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B01_deterministic,4e65ff2075680484,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B02_surrogate_top,688b49e0c3b543ca,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B03_surrogate_top,126863e4c1372da1,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B04_surrogate_top,2241e69d0c7b020f,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B05_diverse_tophalf,f0a3e7f21b353202,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B06_diverse_tophalf,450d44b1ee439317,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B07_novelty_tophalf,a0c36473fb84cafc,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
16,PPOV01_N16_B08_stochastic_highreward,0850e3362b7cf8ec,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B01_deterministic,df821abc1c971d88,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B02_surrogate_top,439833e86223ed31,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B03_surrogate_top,6c63f73cf47f85c7,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B04_surrogate_top,30e6b90605fe207b,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B05_diverse_tophalf,a8f881f2ef3f71e2,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B06_diverse_tophalf,323fc92635a0ad11,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B07_novelty_tophalf,6e9031851c4fd19e,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
24,PPOV01_N24_B08_stochastic_highreward,f61d232781754d8e,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B01_deterministic,5015aabd66c74efa,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B02_surrogate_top,b3be48f2d4e40a36,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B03_surrogate_top,b63f604e997672fc,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B04_surrogate_top,e93f64804bdaeb41,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B05_diverse_tophalf,88295961bef21668,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B06_diverse_tophalf,d8b811f462e44e1f,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B07_novelty_tophalf,a5ecd0c8859debb5,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
40,PPOV01_N40_B08_stochastic_highreward,2ea5741bff7be54f,True,legal_permutation,PPO_checkpoint_inference,False,False,False,True,True,False
