n,strategy_name,handoff_strategy_name,dataset_source,ppo_version,is_ppo,source_metric_file,candidate_source,order_hash,order_compact,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_source_column,mises_max,teacher_validation_status,completion_status,odb_extraction_status,extracted_field_names,final_frame_time,final_step_name,notes,teacher_metrics_extracted,candidate_family,generation_method,selection_bucket,batch_name,priority_role,ppo_generation_mode,partial_training_caveat,selected_by_bucket,final_expansion_batch,ppo_checkpoint,ppo_version_source,global_candidate_index,predicted_quality_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,order_json,seed,predicted_reward_available,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,teacher_validated,abaqus_validated,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
12,N12_A01_raster_left_to_right,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,0.0001314298706347,0.172713503241539,585.930688,surface_t_proxy_mpa,579938304.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A02_odd_even_interlaced,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,4.044348497700412e-05,0.1485100835561752,585.297728,surface_t_proxy_mpa,579939584.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,odd_even,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A03_greedy_maximin_distance,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,8.175894481610158e-05,0.160981610417366,585.035712,surface_t_proxy_mpa,579939584.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,maximin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A04_method_c_u2_first_engineering,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,4.411622103361879e-05,0.1464761346578598,581.743296,surface_t_proxy_mpa,579939584.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,method_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A05_center_out,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,0.0001583552163992,0.1603216230869293,580.9728,surface_t_proxy_mpa,579938048.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,center_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A06_edge_in_alternating,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,0.0001012890104448,0.175326257944107,580.798976,surface_t_proxy_mpa,579937984.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,edge_in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A07_regular_jump_coprime,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,6.379491514962865e-05,0.1535141170024871,581.880128,surface_t_proxy_mpa,579938432.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,regular_jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A08_block_interleaved_quarters,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,3.682645638036775e-05,0.1432445049285888,582.462656,surface_t_proxy_mpa,579939584.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,block_interleaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A09_center_edge_alternating,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,0.0001080845922842,0.1680927276611328,580.752832,surface_t_proxy_mpa,579938304.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,center_edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,nan,stage3_native_combined552,,False,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,,nan,nan,5.570924804487731e-05,0.1565174758434295,583.11456,surface_t_proxy_mpa,579938304.0,PASS_ODB_EXTRACTED,,,,1200.0,,,True,graph_pointer_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
