n,handoff_strategy_name,expected_case_dir,expected_job_name,scan_order_json,expected_cae,expected_inp,expected_jnl,expected_odb,teacher_validated,generation_status,solver_status,notes
24,S3R49SCN_N24_B01_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard,J2D_S3R49SCN_N24_B01_strict_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B01_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B02_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard,J2D_S3R49SCN_N24_B02_strict_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B02_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B03_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard,J2D_S3R49SCN_N24_B03_strict_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B03_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B04_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard,J2D_S3R49SCN_N24_B04_strict_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B04_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B05_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage,J2D_S3R49SCN_N24_B05_two_stage,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B05_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B06_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage,J2D_S3R49SCN_N24_B06_two_stage,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B06_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B07_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage,J2D_S3R49SCN_N24_B07_two_stage,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B07_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B08_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage,J2D_S3R49SCN_N24_B08_two_stage,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B08_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B09_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard,J2D_S3R49SCN_N24_B09_median_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B09_median_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R49SCN_N24_B10_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard,J2D_S3R49SCN_N24_B10_median_guard,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_49_run48_stricter_constrained_N24_N40_batch32_handoff_package\scan_orders\scan_order_S3R49SCN_N24_B10_median_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run49 did not generate CAE/INP/JNL or submit solver jobs.
