N,ranking_view,top_k,family_label,occupancy_count,top_k_size,occupancy_fraction,claim_role
N12,U2,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N12,U2,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N12,U2,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N12,U2,5,uncertainty,1,5,0.200000,native_within_N_claim_scope
N12,U2,5,diversity,1,5,0.200000,native_within_N_claim_scope
N12,U2,5,recovery_anchor,1,5,0.200000,native_within_N_claim_scope
N12,U2,5,penalty_repair,2,5,0.400000,native_within_N_claim_scope
N12,U2,5,method_c,0,5,0.000000,native_within_N_claim_scope
N12,U2,5,other,0,5,0.000000,native_within_N_claim_scope
N12,U2,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N12,U2,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N12,U2,10,surrogate_guided,2,10,0.200000,native_within_N_claim_scope
N12,U2,10,uncertainty,1,10,0.100000,native_within_N_claim_scope
N12,U2,10,diversity,1,10,0.100000,native_within_N_claim_scope
N12,U2,10,recovery_anchor,2,10,0.200000,native_within_N_claim_scope
N12,U2,10,penalty_repair,3,10,0.300000,native_within_N_claim_scope
N12,U2,10,method_c,0,10,0.000000,native_within_N_claim_scope
N12,U2,10,other,1,10,0.100000,native_within_N_claim_scope
N12,PEEQ,5,engineering_baseline,1,5,0.200000,native_within_N_claim_scope
N12,PEEQ,5,graph_pointer_or_gnn_rl,1,5,0.200000,native_within_N_claim_scope
N12,PEEQ,5,surrogate_guided,1,5,0.200000,native_within_N_claim_scope
N12,PEEQ,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N12,PEEQ,5,diversity,1,5,0.200000,native_within_N_claim_scope
N12,PEEQ,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N12,PEEQ,5,penalty_repair,1,5,0.200000,native_within_N_claim_scope
N12,PEEQ,5,method_c,0,5,0.000000,native_within_N_claim_scope
N12,PEEQ,5,other,0,5,0.000000,native_within_N_claim_scope
N12,PEEQ,10,engineering_baseline,1,10,0.100000,native_within_N_claim_scope
N12,PEEQ,10,graph_pointer_or_gnn_rl,1,10,0.100000,native_within_N_claim_scope
N12,PEEQ,10,surrogate_guided,1,10,0.100000,native_within_N_claim_scope
N12,PEEQ,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N12,PEEQ,10,diversity,2,10,0.200000,native_within_N_claim_scope
N12,PEEQ,10,recovery_anchor,2,10,0.200000,native_within_N_claim_scope
N12,PEEQ,10,penalty_repair,3,10,0.300000,native_within_N_claim_scope
N12,PEEQ,10,method_c,0,10,0.000000,native_within_N_claim_scope
N12,PEEQ,10,other,0,10,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,engineering_baseline,2,5,0.400000,native_within_N_claim_scope
N12,SurfaceT,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,diversity,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N12,SurfaceT,5,method_c,0,5,0.000000,native_within_N_claim_scope
N12,SurfaceT,5,other,0,5,0.000000,native_within_N_claim_scope
