target,definition,dataset
target_reward_combined432_u2_primary,0.65 U2 + 0.20 PEEQ + 0.10 SurfaceT + 0.05 Mises,native_combined432
target_reward_combined432_constrained_u2_reward_balanced,0.50 U2 + 0.25 PEEQ + 0.15 SurfaceT + 0.10 Mises,native_combined432
target_reward_combined432_strict_penalty_guard,0.40 U2 + 0.30 PEEQ + 0.20 SurfaceT + 0.10 Mises,native_combined432
target_reward_combined432_penalty_repair,0.30 U2 + 0.30 PEEQ + 0.25 SurfaceT + 0.15 Mises,native_combined432
target_reward_combined432_N12_recovery,N12 recovery target: 0.52 U2 + 0.22 PEEQ + 0.16 SurfaceT + 0.10 Mises,native_combined432
target_reward_combined432_N16_recovery,N16 recovery target: 0.50 U2 + 0.24 PEEQ + 0.16 SurfaceT + 0.10 Mises,native_combined432
target_reward_combined432_variable_N_recovery,Small-N recovery target for N12/N16 and conservative constrained/penalty mix for frozen N24/N40 references,native_combined432
target_reward_combined432_N40_followup,"Secondary N40 follow-up target mixing N40 U2/reward retention, N40 penalty repair, and two-stage repair",native_combined432
target_reward_combined432_plus_N32_mapped_u2_primary,mapped U2-primary target with N32 semantic warnings preserved,combined432_plus_N32
target_reward_combined432_plus_N32_strict_u2_surfaceT,strict U2 + SurfaceT target for safer N32 metric semantics,combined432_plus_N32
