run_id,batch_name,selected_batch,n,handoff_strategy_name,original_run23_candidate_id,original_run23_strategy_name,candidate_family,candidate_source,generation_method,selection_bucket,priority_role,model_prediction_mean,model_prediction_std,predicted_gap_vs_combined108_best,novelty_distance_to_combined108,nearest_existing_teacher_strategy,source_order_json,order_hash,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_log_path,teacher_validated,teacher_validation_status,solver_status,scan_order
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,12,S3R30H32_N12_B01_gnn_policy_top,,,,graph_pointer_beam_search,beam_0,gnn_policy_top_candidates,,,,,,N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N12_B01_gnn_policy_top.json,f23168f0033f34d8,J2D_S3R30H32_N12_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\scan_order_S3R30H32_N12_B01_gnn_policy_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\J2D_S3R30H32_N12_B01_gnn_policy_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\J2D_S3R30H32_N12_B01_gnn_policy_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\J2D_S3R30H32_N12_B01_gnn_policy_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\J2D_S3R30H32_N12_B01_gnn_policy_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,9,5,1,3,7,8,10,11]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,12,S3R30H32_N12_B02_hybrid_agreement,,,,gnn_reward_local_search,edge_center,hybrid_gnn_surrogate_agreement,,,,,,N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N12_B02_hybrid_agreement.json,9a61190aeb21562c,J2D_S3R30H32_N12_B02_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\scan_order_S3R30H32_N12_B02_hybrid_agreement.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\J2D_S3R30H32_N12_B02_hybrid_agreement.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\J2D_S3R30H32_N12_B02_hybrid_agreement.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\J2D_S3R30H32_N12_B02_hybrid_agreement.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\J2D_S3R30H32_N12_B02_hybrid_agreement.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[10,4,2,6,9,5,1,7,11,8,0,3]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,12,S3R30H32_N12_B03_hybrid_disagreement,,,,surrogate_known_best_local_search,block_swap,hybrid_gnn_surrogate_disagreement,,,,,,N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N12_B03_hybrid_disagreement.json,03a2753a9e1d2d6c,J2D_S3R30H32_N12_B03_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\scan_order_S3R30H32_N12_B03_hybrid_disagreement.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\J2D_S3R30H32_N12_B03_hybrid_disagreement.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\J2D_S3R30H32_N12_B03_hybrid_disagreement.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\J2D_S3R30H32_N12_B03_hybrid_disagreement.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\J2D_S3R30H32_N12_B03_hybrid_disagreement.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[2,5,6,9,1,4,7,10,0,3,8,11]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,12,S3R30H32_N12_B04_surrogate_local,,,,surrogate_known_best_local_search,swap_mutation,surrogate_known_best_local_search,,,,,,S3B20_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N12_B04_surrogate_local.json,5b93868b817d697c,J2D_S3R30H32_N12_B04_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\scan_order_S3R30H32_N12_B04_surrogate_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\J2D_S3R30H32_N12_B04_surrogate_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\J2D_S3R30H32_N12_B04_surrogate_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\J2D_S3R30H32_N12_B04_surrogate_local.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\J2D_S3R30H32_N12_B04_surrogate_local.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,10,8,6,4,2,1,5,3,7,9,11]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,16,S3R30H32_N16_B01_new_best_local,,,,N16_new_best_neighborhood,block_swap,new_best_local_search,,,,,,S3R19B28_N16_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N16_B01_new_best_local.json,22529512b41ad92c,J2D_S3R30H32_N16_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\scan_order_S3R30H32_N16_B01_new_best_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\J2D_S3R30H32_N16_B01_new_best_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\J2D_S3R30H32_N16_B01_new_best_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\J2D_S3R30H32_N16_B01_new_best_local.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\J2D_S3R30H32_N16_B01_new_best_local.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[10,6,4,2,8,12,14,0,1,3,5,7,9,11,13,15]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,16,S3R30H32_N16_B02_new_best_local,,,,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,,,,,S3R24L64_N16_B02_top_region,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N16_B02_new_best_local.json,36e7517c3f970497,J2D_S3R30H32_N16_B02_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\scan_order_S3R30H32_N16_B02_new_best_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\J2D_S3R30H32_N16_B02_new_best_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\J2D_S3R30H32_N16_B02_new_best_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\J2D_S3R30H32_N16_B02_new_best_local.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\J2D_S3R30H32_N16_B02_new_best_local.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[8,6,4,0,14,12,10,2,1,3,5,7,9,11,13,15]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,16,S3R30H32_N16_B03_new_best_local,,,,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,,,,,S3R19B28_N16_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N16_B03_new_best_local.json,54447f862d3632cf,J2D_S3R30H32_N16_B03_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\scan_order_S3R30H32_N16_B03_new_best_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\J2D_S3R30H32_N16_B03_new_best_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\J2D_S3R30H32_N16_B03_new_best_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\J2D_S3R30H32_N16_B03_new_best_local.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\J2D_S3R30H32_N16_B03_new_best_local.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[10,2,4,6,8,12,14,0,1,3,5,7,9,11,13,15]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,16,S3R30H32_N16_B04_new_best_local,,,,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,,,,,S3R19B28_N16_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N16_B04_new_best_local.json,dd925914dacf0b61,J2D_S3R30H32_N16_B04_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\scan_order_S3R30H32_N16_B04_new_best_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\J2D_S3R30H32_N16_B04_new_best_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\J2D_S3R30H32_N16_B04_new_best_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\J2D_S3R30H32_N16_B04_new_best_local.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\J2D_S3R30H32_N16_B04_new_best_local.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[8,2,4,6,10,12,14,0,1,3,5,7,9,11,13,15]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,24,S3R30H32_N24_B01_gnn_policy_top,,,,graph_pointer_beam_search,beam_4,gnn_policy_top_candidates,,,,,,N24_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N24_B01_gnn_policy_top.json,855fe95ef34819e1,J2D_S3R30H32_N24_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\scan_order_S3R30H32_N24_B01_gnn_policy_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\J2D_S3R30H32_N24_B01_gnn_policy_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\J2D_S3R30H32_N24_B01_gnn_policy_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\J2D_S3R30H32_N24_B01_gnn_policy_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\J2D_S3R30H32_N24_B01_gnn_policy_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,21,23,19]"
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,run29_hybrid_policy_batch32,24,S3R30H32_N24_B02_gnn_policy_top,,,,graph_pointer_beam_search,beam_2,gnn_policy_top_candidates,,,,,,N24_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_30_run29_hybrid_policy_batch32_handoff_package\scan_orders\scan_order_S3R30H32_N24_B02_gnn_policy_top.json,118d12b59c9f6409,J2D_S3R30H32_N24_B02_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\scan_order_S3R30H32_N24_B02_gnn_policy_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\J2D_S3R30H32_N24_B02_gnn_policy_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\J2D_S3R30H32_N24_B02_gnn_policy_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\J2D_S3R30H32_N24_B02_gnn_policy_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\J2D_S3R30H32_N24_B02_gnn_policy_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,8,10,12,14,16,18,20,22,3,5,7,9,11,13,15,17,19,21,23,1]"
