n,strategy_name,dataset_source,legacy_source_category,order_json,order_hash,u2_range,peeq_guard,peeq_max_mapped_from_peeq_guard,surface_t_proxy,surface_t_proxy_source,mises_P95_top_band,mises_max_mapped_from_mises_P95_top_band,mises_source_missing,mises_rank_fill_policy,mises_rank_fill_value,teacher_validation_status,final_cooling_success,extraction_provenance,source_file,source_row_index,duplicate_group_id,duplicate_aliases,duplicate_removed_for_training,representative_selection_reason,metric_semantic_warning,compatibility_notes
32,COPT_A01_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,24,4,6,8,10,12,14,16,18,20,22,2,26,28,30,1,3,5,17,9,11,13,15,7,19,21,23,25,27,29,31]",de71bd73a968abf6,0.00011304519,0.1443412087857723,0.1443412087857723,0.002177361454833,surface_tensile_primary,1.9332770133333328,1.9332770133333328,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,1,,COPT_A01_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A02_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,1,3,21,7,31,11,13,15,17,19,5,23,25,27,29,9]",d1069ad7773652e4,0.0001687691,0.1438829528540373,0.1438829528540373,0.0039987366210559,surface_tensile_primary,1.9332791466666663,1.9332791466666663,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,2,,COPT_A02_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A03_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,21,7,11,19,27,3,5,9,13,17,23,29,25,1,24,30,6,8,10,12,14,16,18,20,22,2,26,28,4]",150f7b087bb79624,0.00027607675,0.1414811417460441,0.1414811417460441,0.005588990165498,surface_tensile_primary,1.9332808746666663,1.9332808746666663,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,3,,COPT_A03_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A04_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,23,7,11,19,27,3,5,9,13,17,21,25,1,29,2,4,6,8,10,18,14,20,12,22,24,26,16,28,30]",8bf8de5b0cc00f27,0.00031909993,0.1411441011726856,0.1411441011726856,0.0023355938251504,surface_tensile_primary,1.93327712,1.93327712,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,4,,COPT_A04_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A05_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,23,7,11,19,27,3,5,9,13,17,21,25,29,1,2,4,6,10,12,14,16,18,20,8,22,24,26,30,28]",d908ed957326253d,0.00021312087,0.1437160982191563,0.1437160982191563,0.0022388221177822,surface_tensile_primary,1.933277568,1.933277568,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,5,,COPT_A05_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A06_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,23,5,9,13,7,11,19,27,3,17,21,25,29,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30]",eae79a314fb36b48,0.00014985347,0.1455014341324567,0.1455014341324567,0.0011476153648877,surface_tensile_primary,1.933277226666667,1.933277226666667,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,6,,COPT_A06_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A07_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,23,7,11,19,9,27,3,5,13,17,21,25,29,1,2,4,6,8,10,12,14,16,18,22,24,20,26,28,30]",d17e626b91781f52,0.0001806351,0.1436414587497711,0.1436414587497711,0.0011856388038683,surface_tensile_primary,1.9332772906666669,1.9332772906666669,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,7,,COPT_A07_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,COPT_A08_V01,stage2_n32_legacy,stage2_n32_full32_baseline_reference_legacy,"[0,31,15,23,7,11,19,27,3,5,9,13,21,25,29,1,17,10,8,6,4,2,12,14,16,18,20,22,24,26,28,30]",cf77394dcfd46559,0.00023296151,0.1441057754307985,0.1441057754307985,0.0013786797638481,surface_tensile_primary,1.9332767573333336,1.9332767573333336,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,8,,COPT_A08_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,GNNU_A01_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,18,20,22,24,2,4,6,26,28,30,14,12,9,7,5,21,23,25,3,8,10,16,1,17,19,27,31,29,15,13,11]",388a3699304822af,0.00036397835,0.1457993406057358,0.1457993406057358,0.0069751548480718,surface_tensile_primary,1.9332792746666665,1.9332792746666665,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,10,,GNNU_A01_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
32,GNNU_A02_V01,stage2_n32_legacy,stage2_n32_gnn_rl_legacy,"[0,2,21,23,25,4,6,8,10,12,14,16,18,20,22,24,26,1,3,5,28,30,7,9,11,13,15,17,19,27,29,31]",d9d0766ae342957e,8.327191e-05,0.1476096954941749,0.1476096954941749,0.0054133643322144,surface_tensile_primary,1.9332779733333332,1.9332779733333332,False,source_value_used,,LEGACY_TEACHER_LABEL_COMPATIBLE,True,canonical full-field Stage 2 source; see source_file and audit report,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,11,,GNNU_A02_V01,False,unique_order_hash,True,"peeq_max mapped from Stage 2 peeq_guard diagnostic; verify threshold semantics before final merge; surface_t_proxy mapped from full-field surface_tensile_primary; mises_max mapped from mises_P95_top_band, not literal global max | PEEQ uses Stage 2 peeq_guard proxy; Mises uses Stage 2 mises_P95_top_band proxy, not literal native Stage 3 peeq_max/global mises_max."
