trajectory_id,segment_id,order_index,track_id,event_type,x_start_mm,y_start_mm,z_start_mm,x_end_mm,y_end_mm,z_end_mm,track_width_mm,track_length_mm,t_start_s,t_end_s,duration_s,laser_on,scan_speed_mm_s,nominal_power_w,source_sequence_file
random_seed_58,track_29,0,29,deposition_track,90.5,2.0,0.0,90.5,38.0,0.0,3.0,36.0,0.0,3.6,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_28,1,28,deposition_track,87.5,2.0,0.0,87.5,38.0,0.0,3.0,36.0,3.6,7.2,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_09,2,9,deposition_track,30.5,2.0,0.0,30.5,38.0,0.0,3.0,36.0,7.2,10.8,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_24,3,24,deposition_track,75.5,2.0,0.0,75.5,38.0,0.0,3.0,36.0,10.8,14.4,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_22,4,22,deposition_track,69.5,2.0,0.0,69.5,38.0,0.0,3.0,36.0,14.4,18.0,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_04,5,4,deposition_track,15.5,2.0,0.0,15.5,38.0,0.0,3.0,36.0,18.0,21.6,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_23,6,23,deposition_track,72.5,2.0,0.0,72.5,38.0,0.0,3.0,36.0,21.6,25.200000000000003,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_30,7,30,deposition_track,93.5,2.0,0.0,93.5,38.0,0.0,3.0,36.0,25.200000000000003,28.800000000000004,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_00,8,0,deposition_track,3.5,2.0,0.0,3.5,38.0,0.0,3.0,36.0,28.800000000000004,32.400000000000006,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_13,9,13,deposition_track,42.5,2.0,0.0,42.5,38.0,0.0,3.0,36.0,32.400000000000006,36.00000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_21,10,21,deposition_track,66.5,2.0,0.0,66.5,38.0,0.0,3.0,36.0,36.00000000000001,39.60000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
